dataset,target_name,target_score,retained_fraction,mean_width,std_width,mean_sigma_cal,std_sigma_cal,ci_lower_width,ci_upper_width,ci_lower_sigma_cal,ci_upper_sigma_cal,e_model,ambiguity
adult,s~0.20,0.20004715790195726,1.0,0.009708737864077666,0.0,0.022893268344240783,0.0015981021690283743,0.009708737864077666,0.009708737864077666,0.02021943896133883,0.026225395419077164,0.03772863097329696,0.15941653313224619
adult,s~0.20,0.20004715790195726,0.75,0.008191673260776777,0.003533966723652442,0.02415445967521128,0.0024551058947038635,0.0034180166912125636,0.013710585585585586,0.01949460977307029,0.02859592237460928,0.03772863097329696,0.15941653313224619
adult,s~0.20,0.20004715790195726,0.5,0.009016722695112871,0.00510263662724136,0.026256305239043477,0.00353496439045733,0.003346190396332948,0.0192816742081448,0.019523738396425735,0.03516782292196557,0.03772863097329696,0.15941653313224619
adult,s~0.20,0.20004715790195726,0.25,0.01706584319975992,0.014055083196891307,0.02918125688191099,0.004137618541019749,0.0038441051136363764,0.05408476658476659,0.021855368212427832,0.03678200406306678,0.03772863097329696,0.15941653313224619
adult,s~0.20,0.20004715790195726,0.125,0.01902153234251099,0.016863070760936037,0.031623940749402356,0.004864988808051215,0.004329004329004334,0.059199866816444964,0.022221664480181383,0.04129572825045421,0.03772863097329696,0.15941653313224619
adult,s~0.35,0.35004721417039825,1.0,0.0029498525073746173,0.0,0.021715244708022986,0.001609798242464788,0.0029498525073746173,0.0029498525073746173,0.018087669541374148,0.024818683103612318,0.0755032667750721,0.2236775698088252
adult,s~0.35,0.35004721417039825,0.75,0.003926549315888267,0.0019529930045622487,0.02378063551764274,0.0022487867859215965,0.0022345148210290945,0.008463192817412733,0.019951631982688622,0.02848314644036945,0.0755032667750721,0.2236775698088252
adult,s~0.35,0.35004721417039825,0.5,0.007383229686029458,0.008717741008476021,0.026195773832251183,0.0029122780329874976,0.002664012787567316,0.04244076825223747,0.020516051624726014,0.03138669758294846,0.0755032667750721,0.2236775698088252
adult,s~0.35,0.35004721417039825,0.25,0.008802975409454425,0.00898875845506301,0.02983920369212734,0.003939710623133842,0.0021108556434537517,0.026974789915966347,0.02254162537251478,0.0371930014724064,0.0755032667750721,0.2236775698088252
adult,s~0.35,0.35004721417039825,0.125,0.012378641450920014,0.015250394328247234,0.031456563369682035,0.003995728509078577,0.0018954803884221063,0.04708990875942927,0.023016814532488716,0.03780138771810962,0.0755032667750721,0.2236775698088252
adult,s~0.50,0.5000984417209114,1.0,0.0016339869281045694,0.0,0.020585165406740717,0.0012825235833291814,0.0016339869281045694,0.0016339869281045694,0.018499401668647792,0.023229931689961732,0.028650896507239596,0.2482638888888889
adult,s~0.50,0.5000984417209114,0.75,0.0025372622531677934,0.0020887111109756597,0.024085895592237644,0.0020179205103943447,0.0019285491106300428,0.005215593568494155,0.020919983269069332,0.02808876152105258,0.028650896507239596,0.2482638888888889
adult,s~0.50,0.5000984417209114,0.5,0.004672111847492486,0.0033770438592400503,0.029721515784846123,0.0033298939089084455,0.0028567580143511683,0.013918918918918926,0.024406790707993162,0.03720194875751858,0.028650896507239596,0.2482638888888889
adult,s~0.50,0.5000984417209114,0.25,0.01184686889646306,0.01021934635620247,0.04051821346154869,0.005466657550721459,0.004237288135593209,0.03405519091207347,0.03117982238040874,0.05153444657154379,0.028650896507239596,0.2482638888888889
adult,s~0.50,0.5000984417209114,0.125,0.022139532199340617,0.022910206494532084,0.049784258574506426,0.007650817278706153,0.006916498993963782,0.08415826725485814,0.03678340240548868,0.06593912159033738,0.028650896507239596,0.2482638888888889
adult,s~0.65,0.6499910785353195,1.0,0.0035714285714285587,0.0,0.02466488390764269,0.0016168327397186317,0.0035714285714285587,0.0035714285714285587,0.021804388918411455,0.02822113422497683,0.0410117554052206,0.21617028061224489
adult,s~0.65,0.6499910785353195,0.75,0.004445703715971961,0.0011998030198679607,0.027820435868583945,0.0024932063217567853,0.003260009971476677,0.006859248134415905,0.023719506359267926,0.03257617905931887,0.0410117554052206,0.21617028061224489
adult,s~0.65,0.6499910785353195,0.5,0.00703250483062582,0.003407444289362061,0.03314296979219207,0.0036135835926554435,0.003661631522033007,0.014867273499892072,0.02704450780170154,0.03953312093416643,0.0410117554052206,0.21617028061224489
adult,s~0.65,0.6499910785353195,0.25,0.01378270965118386,0.011024929351622591,0.04237807204165935,0.00455137792420773,0.006515301135116827,0.043605819715922735,0.033117925546569754,0.051093703130233155,0.0410117554052206,0.21617028061224489
adult,s~0.65,0.6499910785353195,0.125,0.02940138910412687,0.027692240969935177,0.05311014833587666,0.007103232036022889,0.009130525437864887,0.11028511289705314,0.039887349610928935,0.06764600019506002,0.0410117554052206,0.21617028061224489
adult,s~0.80,0.8000482252581133,1.0,0.006200466200466215,0.0,0.023127181955889968,0.0015001468723121062,0.006200466200466215,0.006200466200466215,0.020314266857556745,0.02561818116862101,0.04377227075397344,0.11292745149178719
adult,s~0.80,0.8000482252581133,0.75,0.010416205470591246,0.005682163788230234,0.025917318455649613,0.0025946856006266116,0.005232414644179409,0.025688259109311714,0.021243803905206825,0.030923954969341725,0.04377227075397344,0.11292745149178719
