dataset,target_name,train_fraction,e_model,mean_width,std_width
adult,s~0.20,1.0,0.012334623319287254,0.0062082805738332926,0.00642169563937542
adult,s~0.35,1.0,0.01814951363639577,0.0053945300964322275,0.006168277079259872
adult,s~0.50,1.0,0.03613667166799213,0.006044694555278332,0.0099354690536042
adult,s~0.65,1.0,0.008782344705496352,0.008492244936083524,0.00923178646092706
adult,s~0.80,1.0,0.03685914158447598,0.029594136179822747,0.027405666832088865
adult,s~0.20,0.75,0.020588103776541657,0.006635003934041599,0.009006916156422469
adult,s~0.35,0.75,0.030789693700271303,0.004997931286215097,0.005299610110445246
adult,s~0.50,0.75,0.05962827089783632,0.004595601389541887,0.004786635569216509
adult,s~0.65,0.75,0.017936306902193208,0.009643455051928245,0.012483557516217027
adult,s~0.80,0.75,0.0591111016324786,0.018649741364435837,0.016926380782639316
adult,s~0.20,0.5,0.034522057814213546,0.006661461849725447,0.00895537647818899
adult,s~0.35,0.5,0.0404732882717989,0.004656431958051336,0.00473116058100462
adult,s~0.50,0.5,0.0700719894419716,0.004977485149865148,0.005354824626292417
adult,s~0.65,0.5,0.02800113134646088,0.008060708627938042,0.006693416471093319
adult,s~0.80,0.5,0.069263379487138,0.016017279375835212,0.013263159913502019
adult,s~0.20,0.25,0.0440758759592391,0.00370266823270897,0.0032794876936634385
adult,s~0.35,0.25,0.05380147831313047,0.00433978877034124,0.004937368323833774
adult,s~0.50,0.25,0.08112133832659034,0.005345457768991785,0.006107017354720998
adult,s~0.65,0.25,0.04218217513975062,0.008874726237795253,0.010519430328960026
adult,s~0.80,0.25,0.07522658479810089,0.015727785432566022,0.015233977317182592
bank,s~0.20,1.0,0.01557093581561133,0.008790918026049598,0.00854333138472296
bank,s~0.35,1.0,0.02803620288253098,0.010134556091724246,0.014974549803698386
bank,s~0.50,1.0,0.02972016797230875,0.009267122344185369,0.011424294566882513
bank,s~0.65,1.0,0.029545963857617298,0.013863342380056534,0.014844175148977587
bank,s~0.80,1.0,0.03926892385973834,0.019921906560103186,0.017320216957710053
bank,s~0.20,0.75,0.030973408424508016,0.007716485606226865,0.009225020886420424
bank,s~0.35,0.75,0.04538071540258682,0.01019329697414003,0.016350028092577493
bank,s~0.50,0.75,0.05615928077044545,0.008236397300404014,0.01081581315227283
bank,s~0.65,0.75,0.05159788468946947,0.012007672929386955,0.012663527984602666
bank,s~0.80,0.75,0.05658611030353715,0.021152272173363285,0.032162200236697004
bank,s~0.20,0.5,0.04208760032290949,0.007846681152671764,0.01196290878433291
bank,s~0.35,0.5,0.06857897361912221,0.00896204023229053,0.010054213341036056
bank,s~0.50,0.5,0.07482201249897022,0.0063878225883844285,0.006128444575687836
bank,s~0.65,0.5,0.06759231436981268,0.013694461266189204,0.01539076211349798
bank,s~0.80,0.5,0.07756376484336865,0.02326676173403243,0.037637945330021544
bank,s~0.20,0.25,0.05648492196850635,0.006325401745773693,0.00757358771508827
bank,s~0.35,0.25,0.09886287262148162,0.007317970831568277,0.00943777047519052
bank,s~0.50,0.25,0.1023307560972725,0.0070250312343404266,0.006459182842973098
bank,s~0.65,0.25,0.10621070205823308,0.012503075188258323,0.015908139635634137
bank,s~0.80,0.25,0.0808648245815103,0.027979397665769894,0.041272220415016436
spambase,s~0.20,1.0,2.7755575615628914e-17,0.04195804195804191,1.3877787807814457e-17
spambase,s~0.35,1.0,1.1102230246251565e-16,0.059845559845559816,2.0816681711721685e-17
spambase,s~0.50,1.0,5.551115123125783e-17,0.025641025641025602,3.469446951953614e-18
spambase,s~0.65,1.0,1.1102230246251565e-16,0.04464285714285708,1.3877787807814457e-17
spambase,s~0.80,1.0,1.1102230246251565e-16,0.1210144927536232,1.3877787807814457e-17
spambase,s~0.20,0.75,0.05103581748779619,0.04082293629287765,0.036574435905031406
spambase,s~0.35,0.75,0.11482593564157498,0.04062444334029416,0.035398561560171314
spambase,s~0.50,0.75,0.11260660105217953,0.04588604619854566,0.03389893613929647
spambase,s~0.65,0.75,0.09377911195892241,0.06951854667806646,0.0465365728521509
spambase,s~0.80,0.75,0.06136763077526384,0.07122453854589889,0.04665210685571389
spambase,s~0.20,0.5,0.06361729969912303,0.039605020562359136,0.03557769438834167
spambase,s~0.35,0.5,0.1373633337930362,0.03643633682041064,0.031099365673514786
spambase,s~0.50,0.5,0.14410013198110685,0.043272042451968175,0.03424997936065288
spambase,s~0.65,0.5,0.11648773094639733,0.06298218356467974,0.052307349896953764
spambase,s~0.80,0.5,0.10755037481178625,0.061121281827142805,0.04766422557425437
spambase,s~0.20,0.25,0.08854664940414979,0.028071026497876364,0.02394793611737069
spambase,s~0.35,0.25,0.16306622096472548,0.04259643175297938,0.04861268009321468
spambase,s~0.50,0.25,0.16166758656051403,0.03546546315554669,0.028816242013993562
spambase,s~0.65,0.25,0.12382437891617752,0.05607327452654569,0.06064468303169263
spambase,s~0.80,0.25,0.15995217323470548,0.05265106370700637,0.03970205152283129
