dataset,target_name,grid_target,test_idx,base_score,p0,p1,p_mid,width,ambiguity,e_model
adult,s~0.20,0.2,10113,0.20005305090181652,0.1924198250728863,0.19653179190751446,0.19447580849020038,0.004111966834628167,0.15665496840228327,0.07554254222784741
adult,s~0.35,0.35,3096,0.35002665991133225,0.35,0.35454545454545455,0.3522727272727273,0.004545454545454575,0.22817665289256198,0.028098987695538476
adult,s~0.50,0.5,2242,0.5000943008463865,0.5636363636363636,0.5680933852140078,0.5658648744251857,0.00445702157764416,0.24566181831695452,0.0486863550184983
adult,s~0.65,0.65,1019,0.6500137539356263,0.6694915254237288,0.6779661016949152,0.673728813559322,0.008474576271186418,0.21981829933927033,0.15151167322547354
adult,s~0.80,0.8,7537,0.7998346378324808,0.8529411764705882,0.8620689655172413,0.8575050709939147,0.009127789046653123,0.12219012421363601,0.03226909292872706
bank,s~0.20,0.2,2460,0.20018133325923373,0.22270742358078602,0.22707423580786026,0.22489082969432314,0.004366812227074246,0.17431494441372208,0.06435493731292437
bank,s~0.35,0.35,1776,0.3499879392007423,0.40930232558139534,0.413953488372093,0.4116279069767442,0.0046511627906976605,0.24219037317468906,0.07157402983637536
bank,s~0.50,0.5,677,0.500191252776593,0.6076294277929155,0.6103542234332425,0.6089918256130791,0.0027247956403270157,0.23812078194952815,0.14189978420483287
bank,s~0.65,0.65,10712,0.6499159112207812,0.6546762589928058,0.6618705035971223,0.658273381294964,0.007194244604316502,0.2249495367734589,0.07856830114968333
bank,s~0.80,0.8,7296,0.7997744776342782,0.782608695652174,0.7922077922077922,0.7874082439299831,0.009599096555618303,0.16739650132108333,0.06656733451689453
spambase,s~0.20,0.2,637,0.19977743517408816,0.25806451612903225,0.27419354838709675,0.2661290322580645,0.016129032258064502,0.19530437044745055,0.07742785514023426
spambase,s~0.35,0.35,413,0.352627949543244,0.25806451612903225,0.27419354838709675,0.2661290322580645,0.016129032258064502,0.19530437044745055,0.1521070762934702
spambase,s~0.50,0.5,432,0.49551185386043844,0.4634146341463415,0.4878048780487805,0.47560975609756095,0.02439024390243899,0.24940511600237952,0.15681684993204048
spambase,s~0.65,0.65,1084,0.6505090837721009,0.4634146341463415,0.4878048780487805,0.47560975609756095,0.02439024390243899,0.24940511600237952,0.18388918050201608
spambase,s~0.80,0.8,152,0.7955623207577004,0.8679245283018868,0.8867924528301887,0.8773584905660378,0.018867924528301883,0.10760056959772159,0.098828536766209
